source_dataset,source_split,sample_id,label_source,text,audio_path,image_path,depression,anxiety,stress,sleep_disorder,burnout,loneliness,substance_abuse
MELD,train,meld-train-dia54-utt2,meld_emotion_sentiment_keyword_proxy,"Maybe!  Well! Well…so-so uh, what kind of music does Numb Nuts—Oh forget it! I can’t!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,dev,meld-dev-dia109-utt6,meld_emotion_sentiment_keyword_proxy,"All right, now, I'm going to get back to my bucket.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia147-utt11,meld_emotion_sentiment_keyword_proxy,"Ok, ok, now what is wrong with my",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,dev,meld-dev-dia80-utt1,meld_emotion_sentiment_keyword_proxy,No. Have you seen David?,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
RAVDESS,full,ravdess-03-01-07-01-01-01-06,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 01 repetition 01 actor 06,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_06\03-01-07-01-01-01-06.wav,,0.22,0.28,0.54,0.18,0.4,0.1,0.5
MELD,train,meld-train-dia301-utt8,meld_emotion_sentiment_keyword_proxy,Hating you!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia271-utt2,meld_emotion_sentiment_keyword_proxy,"Ohh, and the nicest girlfriend!",,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MELD,train,meld-train-dia699-utt2,meld_emotion_sentiment_keyword_proxy,Fine! Here! Take a hike toots!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia961-utt2,meld_emotion_sentiment_keyword_proxy,"Hey Pheebs, what's going on?",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia892-utt10,meld_emotion_sentiment_keyword_proxy,Remember that guy that gave me a bad review? Well…  I’m getting my revenge!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia118-utt9,meld_emotion_sentiment_keyword_proxy,"This actor friend and he would kill me if he thought I was doing this umm, but umm would it be possible for him to get an audition for your movie say on Thursday?",,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
MELD,test,meld-test-dia132-utt19,meld_emotion_sentiment_keyword_proxy,No!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia939-utt17,meld_emotion_sentiment_keyword_proxy,"There he goes, your fiancée.",,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MELD,train,meld-train-dia148-utt2,meld_emotion_sentiment_keyword_proxy,"What rule? There's no rule, if anything, you owe me a table!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-08-01-01-01-23,ravdess_emotion_intensity_proxy,RAVDESS surprised speech clip statement 01 repetition 01 actor 23,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_23\03-01-08-01-01-01-23.wav,,0.12,0.44,0.38,0.14,0.12,0.08,0.05
MELD,test,meld-test-dia30-utt0,meld_emotion_sentiment_keyword_proxy,"Oh my God, what happened?",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia279-utt2,meld_emotion_sentiment_keyword_proxy,I’m gonna go down there and teach that guy a lesson.,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia897-utt9,meld_emotion_sentiment_keyword_proxy,You think?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia827-utt8,meld_emotion_sentiment_keyword_proxy,"But there was this stuff on leg waxing, it just, it looked so amazing....",,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
RAVDESS,full,ravdess-03-01-06-01-02-02-02,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 02 repetition 02 actor 02,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_02\03-01-06-01-02-02-02.wav,,0.32,0.92,0.8,0.48,0.22,0.12,0.4
MELD,train,meld-train-dia935-utt9,meld_emotion_sentiment_keyword_proxy,Y'know what? You're right Phoebe. You're right. Thank you!,,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
RAVDESS,full,ravdess-03-01-06-01-01-01-15,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 01 repetition 01 actor 15,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_15\03-01-06-01-01-01-15.wav,,0.32,0.92,0.8,0.48,0.22,0.12,0.4
MELD,test,meld-test-dia200-utt3,meld_emotion_sentiment_keyword_proxy,Shh!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia0-utt4,meld_emotion_sentiment_keyword_proxy,My duties?  All right.,,,0.06,0.37,0.3,0.08,0.08,0.03,0.01
RAVDESS,full,ravdess-03-01-07-02-02-01-11,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 02 repetition 01 actor 11,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_11\03-01-07-02-02-01-11.wav,,0.22,0.33,0.59,0.3,0.45,0.1,0.76
RAVDESS,full,ravdess-03-01-06-02-01-01-13,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 01 repetition 01 actor 13,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_13\03-01-06-02-01-01-13.wav,,0.32,0.97,0.85,0.6,0.27,0.12,0.66
MELD,dev,meld-dev-dia101-utt0,meld_emotion_sentiment_keyword_proxy,Emma!  See? I don’t want it.,,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
RAVDESS,full,ravdess-03-01-04-02-01-02-13,ravdess_emotion_intensity_proxy,RAVDESS sad speech clip statement 01 repetition 02 actor 13,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_13\03-01-04-02-01-02-13.wav,,0.8,0.33,0.39,0.64,0.39,0.7,0.34
MELD,train,meld-train-dia759-utt5,meld_emotion_sentiment_keyword_proxy,"Well, I'm sorry if my friends aren't as sophisticated as yours.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia557-utt7,meld_emotion_sentiment_keyword_proxy,Horny bitch.  No! You’re a horny bitch! Noooo! You’re the horny bitch! No! You’re a horny bitch!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-05-02-01-01-14,ravdess_emotion_intensity_proxy,RAVDESS angry speech clip statement 01 repetition 01 actor 14,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_14\03-01-05-02-01-01-14.wav,,0.26,0.45,0.89,0.34,0.69,0.12,0.76
MELD,train,meld-train-dia41-utt7,meld_emotion_sentiment_keyword_proxy,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia127-utt4,meld_emotion_sentiment_keyword_proxy,"You’re going to a clinic, and a pyjama store!",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia514-utt6,meld_emotion_sentiment_keyword_proxy,"You don't seem to understand. See, I was Dr. Drake Remoray.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,test,meld-test-dia14-utt3,meld_emotion_sentiment_keyword_proxy,Yeah!,,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
RAVDESS,full,ravdess-03-01-03-01-01-02-11,ravdess_emotion_intensity_proxy,RAVDESS happy speech clip statement 01 repetition 02 actor 11,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_11\03-01-03-01-01-02-11.wav,,0.04,0.04,0.05,0.04,0.04,0.03,0.03
MELD,train,meld-train-dia770-utt9,meld_emotion_sentiment_keyword_proxy,"Oh, I'm sorry, am I getting in the way of all the room switching fun?",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-06-01-02-02-21,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 02 repetition 02 actor 21,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_21\03-01-06-01-02-02-21.wav,,0.32,0.92,0.8,0.48,0.22,0.12,0.4
RAVDESS,full,ravdess-03-01-04-02-01-02-21,ravdess_emotion_intensity_proxy,RAVDESS sad speech clip statement 01 repetition 02 actor 21,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_21\03-01-04-02-01-02-21.wav,,0.8,0.33,0.39,0.64,0.39,0.7,0.34
RAVDESS,full,ravdess-02-01-05-02-02-01-02,ravdess_emotion_intensity_proxy,RAVDESS angry speech clip statement 02 repetition 01 actor 02,,D:\Project\Rural Mental Heath Screening AI\data\ravdess_frames\02-01-05-02-02-01-02.jpg,0.26,0.45,0.89,0.34,0.69,0.12,0.76
MELD,dev,meld-dev-dia37-utt9,meld_emotion_sentiment_keyword_proxy,"Well, this is ironic.",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia436-utt1,meld_emotion_sentiment_keyword_proxy,Just because he’s got a bigger boat he thinks he can take up the whole river.,,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,test,meld-test-dia22-utt7,meld_emotion_sentiment_keyword_proxy,"Why, exactly?",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia712-utt2,meld_emotion_sentiment_keyword_proxy,But the audition’s in a couple hours and I don’t even understand the game.,,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
RAVDESS,full,ravdess-02-01-03-02-02-02-04,ravdess_emotion_intensity_proxy,RAVDESS happy speech clip statement 02 repetition 02 actor 04,,D:\Project\Rural Mental Heath Screening AI\data\ravdess_frames\02-01-03-02-02-02-04.jpg,0.04,0.09,0.1,0.16,0.09,0.03,0.29
RAVDESS,full,ravdess-03-01-07-02-01-01-14,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 01 repetition 01 actor 14,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_14\03-01-07-02-01-01-14.wav,,0.22,0.33,0.59,0.3,0.45,0.1,0.76
RAVDESS,full,ravdess-03-01-06-02-02-02-24,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 02 repetition 02 actor 24,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_24\03-01-06-02-02-02-24.wav,,0.32,0.97,0.85,0.6,0.27,0.12,0.66
MELD,train,meld-train-dia372-utt12,meld_emotion_sentiment_keyword_proxy,Intense and creepy.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
RAVDESS,full,ravdess-01-01-06-01-02-01-01,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 02 repetition 01 actor 01,,D:\Project\Rural Mental Heath Screening AI\data\ravdess_frames\01-01-06-01-02-01-01.jpg,0.32,0.92,0.8,0.48,0.22,0.12,0.4
MELD,train,meld-train-dia918-utt7,meld_emotion_sentiment_keyword_proxy,You got problems because of you!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia542-utt7,meld_emotion_sentiment_keyword_proxy,Are you all right?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia184-utt17,meld_emotion_sentiment_keyword_proxy,"Oh, that's why you got these tickets to that play, to get rid    of us??",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia198-utt5,meld_emotion_sentiment_keyword_proxy,"What, now?",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
RAVDESS,full,ravdess-03-01-06-01-01-02-09,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 01 repetition 02 actor 09,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_09\03-01-06-01-01-02-09.wav,,0.32,0.92,0.8,0.48,0.22,0.12,0.4
MELD,train,meld-train-dia125-utt4,meld_emotion_sentiment_keyword_proxy,"Huh, what can we do in 17 minutes?",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia1010-utt6,meld_emotion_sentiment_keyword_proxy,Allll done!,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia503-utt11,meld_emotion_sentiment_keyword_proxy,"Nobody move!  Okay, you look that way; I'll look this way!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia40-utt11,meld_emotion_sentiment_keyword_proxy,Hello?   It’s the deli again!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia907-utt9,meld_emotion_sentiment_keyword_proxy,"Save it Red! Unless you wanna spend the night in the slammer, you apologize to the tree.",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,test,meld-test-dia69-utt1,meld_emotion_sentiment_keyword_proxy,"I mean, that guy with the toe thing?",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia947-utt4,meld_emotion_sentiment_keyword_proxy,"Either eat it, or be in it.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia738-utt8,meld_emotion_sentiment_keyword_proxy,I can’t believe I still don’t know what happened to the,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,test,meld-test-dia153-utt4,meld_emotion_sentiment_keyword_proxy,"It have a fear of heights, you go to the top of the building!",,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
MELD,test,meld-test-dia144-utt10,meld_emotion_sentiment_keyword_proxy,What—Why wouldn’t you want me at your wedding?,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia466-utt9,meld_emotion_sentiment_keyword_proxy,"The kid...?  Excuse me, uh, that's, that's my puck.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia481-utt3,meld_emotion_sentiment_keyword_proxy,"And what's the big deal, people do it all the time!",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia703-utt0,meld_emotion_sentiment_keyword_proxy,"He is so cute.  So, where did you guys grow up?",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia22-utt0,meld_emotion_sentiment_keyword_proxy,Ew! What is that? Something exploded!,,,0.3,0.38,0.66,0.3,0.49,0.17,0.68
MELD,dev,meld-dev-dia46-utt2,meld_emotion_sentiment_keyword_proxy,"Hey, is, is, is Chandler here?",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,test,meld-test-dia244-utt3,meld_emotion_sentiment_keyword_proxy,Hey.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia594-utt2,meld_emotion_sentiment_keyword_proxy,Please!,,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
RAVDESS,full,ravdess-03-01-07-02-02-02-18,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 02 repetition 02 actor 18,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_18\03-01-07-02-02-02-18.wav,,0.22,0.33,0.59,0.3,0.45,0.1,0.76
MELD,train,meld-train-dia129-utt10,meld_emotion_sentiment_keyword_proxy,We’ll stop by every news stand and burn every copy of their Times and the Post.,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,dev,meld-dev-dia104-utt15,meld_emotion_sentiment_keyword_proxy,No I don't! Stop it! Stop it! Stop it! Stop it!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia12-utt0,meld_emotion_sentiment_keyword_proxy,"What’s all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia775-utt5,meld_emotion_sentiment_keyword_proxy,Oh my God! What were you doing in a library?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
RAVDESS,full,ravdess-03-01-04-02-02-01-10,ravdess_emotion_intensity_proxy,RAVDESS sad speech clip statement 02 repetition 01 actor 10,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_10\03-01-04-02-02-01-10.wav,,0.8,0.33,0.39,0.64,0.39,0.7,0.34
MELD,train,meld-train-dia569-utt2,meld_emotion_sentiment_keyword_proxy,"No, let's just leave the lights on.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia861-utt12,meld_emotion_sentiment_keyword_proxy,The fuzzy little mints at the bottom of her purse.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia274-utt6,meld_emotion_sentiment_keyword_proxy,You’re the worst best man ever!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-01-01-05-02-01-01-04,ravdess_emotion_intensity_proxy,RAVDESS angry speech clip statement 01 repetition 01 actor 04,,D:\Project\Rural Mental Heath Screening AI\data\ravdess_frames\01-01-05-02-01-01-04.jpg,0.26,0.45,0.89,0.34,0.69,0.12,0.76
MELD,train,meld-train-dia1019-utt10,meld_emotion_sentiment_keyword_proxy,"No, to get a table! Places like this are always shakin’ you down. Everybody wants to be paid off.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia861-utt5,meld_emotion_sentiment_keyword_proxy,What's different?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia313-utt3,meld_emotion_sentiment_keyword_proxy,It still doesn’t work.,,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
RAVDESS,full,ravdess-02-01-07-01-01-01-01,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 01 repetition 01 actor 01,,D:\Project\Rural Mental Heath Screening AI\data\ravdess_frames\02-01-07-01-01-01-01.jpg,0.22,0.28,0.54,0.18,0.4,0.1,0.5
MELD,train,meld-train-dia903-utt2,meld_emotion_sentiment_keyword_proxy,Oh crap!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia767-utt6,meld_emotion_sentiment_keyword_proxy,"Uh-oh, uh-oh, the laundry's done.",,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
MELD,train,meld-train-dia275-utt12,meld_emotion_sentiment_keyword_proxy,"I don't care, Rach! Look, I am tired of being the guy who knows all the secrets but can't tell anyone!",,,0.3,0.38,0.66,0.63,0.49,0.17,0.33
MELD,train,meld-train-dia481-utt14,meld_emotion_sentiment_keyword_proxy,What the hell are you cooking!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia989-utt10,meld_emotion_sentiment_keyword_proxy,Because I think I just heard her moving around in there.,,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
MELD,train,meld-train-dia91-utt0,meld_emotion_sentiment_keyword_proxy,"What, did you actually thought it would make me feel better to give me stuff that I can’t use for another two months?!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,dev,meld-dev-dia7-utt7,meld_emotion_sentiment_keyword_proxy,"I mean she’s a very nice woman, but there is no way we can take eight weeks of her.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia935-utt11,meld_emotion_sentiment_keyword_proxy,Anybody lose this?,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia61-utt0,meld_emotion_sentiment_keyword_proxy,"Oh, excuse me. I forgot my briefcase y'know, by accident.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
RAVDESS,full,ravdess-03-01-06-01-02-02-22,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 02 repetition 02 actor 22,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_22\03-01-06-01-02-02-22.wav,,0.32,0.92,0.8,0.48,0.22,0.12,0.4
MELD,train,meld-train-dia167-utt9,meld_emotion_sentiment_keyword_proxy,"Okay, see, see, everyone else is happy she’s done.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-04-02-01-02-17,ravdess_emotion_intensity_proxy,RAVDESS sad speech clip statement 01 repetition 02 actor 17,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_17\03-01-04-02-01-02-17.wav,,0.8,0.33,0.39,0.64,0.39,0.7,0.34
MELD,train,meld-train-dia255-utt9,meld_emotion_sentiment_keyword_proxy,Sorry.,,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
MELD,train,meld-train-dia766-utt0,meld_emotion_sentiment_keyword_proxy,"Yeah, and I am okay with being a pushover.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia901-utt9,meld_emotion_sentiment_keyword_proxy,"All right. Look, I’m gonna go in here, and you don’t buy me anything ever.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia337-utt1,meld_emotion_sentiment_keyword_proxy,Hey.  Soaps? Shampoos? Are you really taking all this stuff?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia482-utt0,meld_emotion_sentiment_keyword_proxy,Oh my God! How did you get back here?!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia699-utt11,meld_emotion_sentiment_keyword_proxy,"Okay lady, you're out of here.",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,dev,meld-dev-dia105-utt11,meld_emotion_sentiment_keyword_proxy,"We are good, interesting, funny people with",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia17-utt24,meld_emotion_sentiment_keyword_proxy,"Look, honey, I have tried to make nice, it doesn’t work.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia875-utt5,meld_emotion_sentiment_keyword_proxy,What? Why?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia665-utt8,meld_emotion_sentiment_keyword_proxy,That’s it! 25 percent? That means that’s it’s like 75 percent chance of no baby at all!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,test,meld-test-dia162-utt4,meld_emotion_sentiment_keyword_proxy,"Ah,",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia923-utt1,meld_emotion_sentiment_keyword_proxy,"Okay, we have to talk. I’m just getting out of a very serious relationship",,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
MELD,train,meld-train-dia261-utt4,meld_emotion_sentiment_keyword_proxy,"Uh-huh, well! But umm, still I’m-I’m mad at you.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia783-utt8,meld_emotion_sentiment_keyword_proxy,Uh-huh.  Good luck.,,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
MELD,dev,meld-dev-dia31-utt1,meld_emotion_sentiment_keyword_proxy,I didn't know Ross and you were so close.,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia661-utt8,meld_emotion_sentiment_keyword_proxy,"Fine, you want to get the birds, get the birds!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia988-utt1,meld_emotion_sentiment_keyword_proxy,You really think it would be that different?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia907-utt4,meld_emotion_sentiment_keyword_proxy,I won't!  Until I have my next cigarette.,,,0.34,0.52,0.9,0.38,0.71,0.23,0.9
RAVDESS,full,ravdess-03-01-05-02-01-02-11,ravdess_emotion_intensity_proxy,RAVDESS angry speech clip statement 01 repetition 02 actor 11,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_11\03-01-05-02-01-02-11.wav,,0.26,0.45,0.89,0.34,0.69,0.12,0.76
MELD,train,meld-train-dia170-utt3,meld_emotion_sentiment_keyword_proxy,"Whoa, ah!! We’re you just gonna give me some lemonade?",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
RAVDESS,full,ravdess-03-01-06-01-01-01-20,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 01 repetition 01 actor 20,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_20\03-01-06-01-01-01-20.wav,,0.32,0.92,0.8,0.48,0.22,0.12,0.4
